CustomerID,Customer Name ,email_address,Phone Number,Country,Signup Date,Loyalty Tier,Age,Marketing Opt-In,Customer Segment,"Notes (internal use only, ignore)"
CUST-1076,Maria Craig,maria.craig@company.co,+1-920-839-1199,Nigeria,2023-04-02,,46.0,Yes,Wholesale,called twice re: refund
CUST-1077,Shannon Johnston,shannon.johnston@gmail.com,5313589264,Australia,"January 16, 2022",Bronze,31.0,No,retail ,N/A
CUST-1078,Gregory Adams  ,,,FR,2025/07/12,Gold,68.0,FALSE,retail ,
CUST-1079,Jennifer Anderson,jennifer.anderson@hotmail.com,call-me-maybe,RSA,2021/01/30,bronze,,TRUE,Retail,called twice re: refund
CUST-1080,Jennifer Alvarez,jennifer.alvarez@company.co,555.811.5245,CA,23-Oct-2021,bronze,74.0,,VIP,
CUST-1063,Robin  Anderson,robin.anderson@outlook.com,+1-507-309-3564,Brazil,2025-12-01,,,0,B2B,called twice re: refund
CUST-1082,Melissa Clark,melissa.clark@outlook.com,813.617.1553,USA,2022-05-13,bronze,68.0,No,Wholesale,called twice re: refund
CUST-1083,Ricky Benton,ricky.benton@gmail.com,+1-439-382-9274,Deutschland,11/30/2021,Gold,-3.0,1,retail ,N/A
CUST-1084,JENNY CHAMBERS,jenny.chambers@,(541) 872-1662,nigeria,19-Feb-2026,GOLD,68.0,No,retail ,called twice re: refund
CUST-1085,ann jones,ann.jones@company.co,(584) 425-6686,India,21/05/2024,Silver,150.0,0,VIP,N/A
CUST-1086,Teresa Mclean,teresa.mclean@outlook.com,213,Germany,16-Nov-2024,Bronze,150.0,FALSE,Wholesale,
CUST-1087,GREGORY MOLINA,gregory.molina@@yahoo.com,###-###-####,france,05/17/2022,GOLD,22.0,Yes,retail ,called twice re: refund
CUST-1088,Christopher  Castillo,christopher.castillo@yahoo.com,+1-245-818-9884,United Kingdom,05/17/2025,bronze,20.0,FALSE,Wholesale,called twice re: refund
CUST-1089,Donna Quinn,donna.quinn@company.co,821,USA,"May 28, 2025",Platinum,71.0,N,Wholesale,
CUST-1090,Julia Hill,julia.hill@yahoocom,(491) 951-3021,india,"March 09, 2024",Platinum,,0,B2B,
CUST-1091,Amy Stewart,amy.stewart@gmail.com,(627) 672-9324,nigeria,"March 14, 2025",,,,Retail,
CUST-1092,Joel Green,joel.green@hotmail.com,589.941.6202,france,01/23/2021,Gold,,,VIP,called twice re: refund
CUST-1093,Denise Morton,denise.morton@outlook.com,2347462976,ZA,2023-10-16,Gold,35.0,Y,Wholesale,N/A
CUST-1094,Monica Phelps,monica.phelps@yahoo.com,(574) 955-6259,Nigeria,"February 06, 2023",Bronze,33.0,Y,Retail,
CUST-1095,Andrew Barnes,andrew.barnes@yahoo.com,(160) 542-6170,AU,09-Jan-2023,Gold,,FALSE,B2B,N/A
CUST-1096,Adam Jones,adam.jones@gmail.com,552,australia,"October 01, 2021",,37.0,1,vip,called twice re: refund
CUST-1097,Stephen Goodwin,stephen.goodwin@company.co,7347235087,Canada,"September 10, 2023",GOLD,,,Wholesale,
CUST-1098,bobby  johnson,bobby.johnson@company.co,(663) 569-6608,United States of America,2024/01/27,Gold,48.0,Yes,Wholesale,
CUST-1099,Jerry Orr,jerry.orr@@gmail.com,+1-304-414-4324,USA,2025-04-22,,64.0,Yes,B2B,
CUST-1100, justin harper,justin.harper@yahoo.com,867.988.8658,ZA,18/12/2022,bronze,19.0,Yes,VIP,called twice re: refund
CUST-1101,DAVID LEWIS,david.lewis@company.co,8078672605,Bharat,"February 08, 2025",,19.0,,retail ,
CUST-1102,Marc Fisher,marc.fisher@hotmail.com,+1-925-525-9450,AU,2021/09/22,bronze,35.0,No,B2B,
CUST-1103,LISA ROBINSON,lisa.robinson@outlook.com,(598) 175-5842,S. Africa,"September 17, 2027",Platinum,38.0,0,vip,
CUST-1104,Steven Smith,steven.smith@outlook.com,call-me-maybe,United States,24-Oct-2024,bronze,41.0,1,Wholesale,N/A
CUST-1105,John Martin,john.martin@hotmail.com,6076237748,DE,26/05/2025,,21.0,No,vip,VIP - handle with care
CUST-1106,TIFFANY TURNER,tiffany.turneryahoo.com,765.587.6560,DE,01/01/2022,bronze,32.0,FALSE,retail ,N/A
CUST-1107,David Park,david.park@yahoo.com,(594) 314-6150,Britain,23-Apr-2025,bronze,25.0,1,Wholesale,
CUST-1108,John Davis,john.davis@,9993757105,India,2025/03/01,Platinum,38.0,1,B2B,VIP - handle with care
CUST-1109,leslie peters  ,leslie.peters@outlook.com,+1-823-852-1504,IN,2023-02-16,bronze,28.0,,B2B,
CUST-1110,Brittany Middleton,brittany.middleton@@outlook.com,769.758.2152,BR,03/09/2022,Gold,33.0,Yes,retail ,
CUST-1111,Deborah Hudson,deborah.hudson@yahoo.com,523.146.1752,Nigéria,2024/12/14,bronze,23.0,No,retail ,VIP - handle with care
CUST-1112,Susan Burton,susan.burton@hotmail.com,404.251.3122,CA,2023/02/09,bronze,54.0,Yes,B2B,
CUST-1113,Connor Phillips MD,connor.phillips.md@company.co,9919067626,India,11/10/2021,bronze,34.0,N,vip,
CUST-1114,Hayden Cooper,hayden.cooper@gmail.com,5474543543,NG,"August 10, 2022",Bronze,40.0,1,vip,N/A
CUST-1115,Mary Davis,mary.davis@outlook.com,(780) 341-5395,BR,08-Jul-2024,,72.0,,Wholesale,N/A
CUST-1116,Ryan Brown,ryan.brown@yahoo.com,1062717207,Nigéria,2026-02-15,,150.0,TRUE,vip,VIP - handle with care
CUST-1117,Brent Adams,brent.adams@hotmail.com,###-###-####,Canada,02-Mar-2023,Gold,20.0,,Wholesale,
CUST-1118,Jill  Merritt,jill.merritt@hotmail.com,2535539415,Nigéria,2023/12/16,Gold,71.0,Y,vip,N/A
CUST-1119,Lonnie Moreno,lonnie.moreno@gmail.com,990.750.6638,india,06/10/2024,Gold,60.0,0,Wholesale,VIP - handle with care
CUST-1120,Phillip Hernandez,phillip.hernandez@company.co,220.293.5882,Brasil,16/04/2021,,46.0,1,VIP,N/A
CUST-1121, Martha Davis,martha.davis@yahoo.com,+1-361-891-5124,Brasil,"June 24, 2026",,62.0,Y,VIP,VIP - handle with care
CUST-1122,Diane Rangel,diane.rangel@yahoo.com,8303354603,Britain,25-Jan-2024,Gold,26.0,No,Wholesale,
CUST-1123,Elizabeth Calhoun,elizabeth.calhoun@yahoo.com,(957) 498-1931,U.K.,2021-03-09,GOLD,150.0,No,Wholesale,
CUST-1124,Jesse Elliott,jesse.elliott@hotmail.com,114.675.6194,Nigéria,2024-11-01,Silver,39.0,,vip,called twice re: refund
CUST-1125,lisa  stuart,lisa.stuart@hotmail.com,(245) 284-4763,AU,30-Sep-2024,GOLD,,Y,VIP,
CUST-1126,Scott Davis,scott.davis@outlook.com,1224718135,Nigeria,10-Aug-2022,Gold,19.0,0,VIP,
CUST-1127,Brian Lopez,brian.lopez@hotmail.com,862.633.6008,NG,05/30/2022,,67.0,No,Wholesale,VIP - handle with care
CUST-1128,Christina Kemp,christina.kemp@hotmail.com,8609564098,Britain,2022-09-07,,38.0,FALSE,B2B,
CUST-1129,Jenny Romero,jenny.romero@yahoo.com,(328) 211-7615,australia,"July 27, 2022",Silver,68.0,N,Retail,
CUST-1130,Elizabeth Bell,elizabeth.bellhotmail.com,(799) 399-2366,France,10/12/2021,GOLD,-1.0,0,Wholesale,called twice re: refund
CUST-1131,Mariah Taylor,mariah.taylor@outlook.com,call-me-maybe,NG,25-Feb-2022,GOLD,39.0,,Wholesale,
CUST-1132,Joseph Phelps,joseph.phelps@hotmailcom,770.521.7767,CA,25/03/2026,Bronze,30.0,TRUE,vip,
CUST-1133,Robert Barber,robert.barber@outlook.com,(556) 848-3475,Bharat,16-May-2025,Bronze,38.0,,B2B,
CUST-1134,Angie Wright,angie.wright@hotmail.com,404.315.9174,FR,2023/09/09,,64.0,Y,retail ,
CUST-1135,Margaret Moore,margaret.moore@company.co,9083223868,Nigéria,03/01/2021,bronze,18.0,No,Wholesale,called twice re: refund
CUST-1136,Heather Clarke,heather.clarke@company.co,8075588691,RSA,"March 03, 2021",Gold,41.0,1,vip,called twice re: refund
CUST-1137,Dylan White,dylan.white@outlook.com,2076202925,Germany,2021-07-24,Gold,-2.0,0,Wholesale,
CUST-1138, Samantha Brandt,samantha.brandt@companyco,7387178204,IN,08/16/2025,bronze,73.0,N,VIP,VIP - handle with care
CUST-1139, Joshua Mcfarland,joshua.mcfarland@gmail.com,8776449199,canada,"March 29, 2025",Gold,64.0,No,B2B,called twice re: refund
CUST-1140,Lisa Gonzalez,lisa.gonzalez@gmail.com,+1-869-318-5469,CA,07/31/2025,Bronze,19.0,TRUE,B2B,N/A
CUST-1141, LORI LAMB,lori.lamb@company.co,(408) 229-1025,RSA,23-Mar-2023,Gold,22.0,,Wholesale,VIP - handle with care
CUST-1142,Nicholas Sutton,nicholas.sutton @yahoo.com,8207987453,india,2022/11/11,GOLD,24.0,Y,Wholesale,
CUST-1143,Daniel Huerta,daniel.huerta@company.co,995.792.8158,U.S.A.,"August 18, 2021",Platinum,45.0,FALSE,Wholesale,
CUST-1144,John Perez,john.perez@yahoo.com,+1-299-855-4406,india,09/02/2023,Bronze,28.0,FALSE,B2B,
CUST-1145,Joseph Becker,joseph.becker@hotmail.com,(485) 106-5312,Nigéria,25/11/2025,Platinum,150.0,Yes,VIP,VIP - handle with care
CUST-1146,James Norton,james.norton@company.co,(808) 674-8186,ZA,16/12/2022,,,Yes,Wholesale,
CUST-1147,James Evans,james.evans@yahoo.com,362.245.9197,Nigeria,22-Feb-2023,GOLD,53.0,Yes,Wholesale,VIP - handle with care
CUST-1148,  Wendy Allen,wendy.allen@gmail.com,+1-431-945-5719,india,"April 24, 2026",,,No,B2B,N/A
CUST-1149,David Moore,david.moore@company.co,(770) 858-8653,Deutschland,03/18/2026,Bronze,68.0,0,B2B,VIP - handle with care
CUST-1150,Joseph Perkins  ,joseph.perkins@gmail.com,3028754583,United Kingdom,30/10/2023,,52.0,Yes,retail ,
CUST-1151,Meghan Martin,meghan.martin@company.co,610,India,04/12/2026,,150.0,,B2B,VIP - handle with care
CUST-1152,Danny Wilson,danny.wilson@yahoo.com,(842) 428-5679,DE,31-Jul-2025,GOLD,39.0,No,retail ,VIP - handle with care
CUST-1153,Chase Shepherd,chase.shepherd@outlook.com,7848703596,Deutschland,04-Nov-2023,,34.0,1,Wholesale,called twice re: refund
CUST-1154,Dr. Phillip Black,dr..phillip.black@hotmail.com,###-###-####,india,12/04/2021,Bronze,,1,vip,
CUST-1149,Kayla Edwards,kayla.edwards@hotmail.com,(788) 292-9141,UK,"August 18, 2025",Bronze,21.0,N,B2B,
CUST-1156,Elizabeth Henderson,elizabeth.henderson@hotmail.com,###-###-####,Canada,30-Jul-2022,,60.0,No,Wholesale,VIP - handle with care
CUST-1157,Krystal White,krystal.white@outlook.com,+1-680-901-9631,UK,2022/05/04,Silver,32.0,No,Wholesale,
CUST-1158,Troy Barrett,troy.barrett@company.co,+1-679-309-7884,Brazil,2025-03-23,Platinum,150.0,Yes,VIP,VIP - handle with care
CUST-1159,Alicia Miller,alicia.miller@yahoo.com,(989) 885-4428,germany,30-Jun-2025,Bronze,74.0,No,Retail,
CUST-1160,PAMELA  CARDENAS,pamela.cardenas@yahoo.com,894.573.8963,Britain,"July 19, 2021",bronze,44.0,No,Wholesale,called twice re: refund
CUST-1161,Steven Moore,steven.moore@hotmail.com,6246977799,S. Africa,2022-06-09,Bronze,43.0,0,B2B,
CUST-1162,JOHN PERRY,john.perry@company.co,4606087581,Nigeria,02/10/2023,Gold,26.0,0,VIP,
CUST-1163,Daniel Brooks,daniel.brooks@yahoo.com,+1-103-624-3172,CA,"May 09, 2026",Gold,73.0,Y,B2B,VIP - handle with care
CUST-1164,wendy baker,wendy.baker@hotmail.com,(871) 142-8445,South Africa,"November 17, 2022",GOLD,150.0,,retail ,called twice re: refund
CUST-1165, Angela Avila,angela.avila@company.co,(105) 665-7918,IN,"September 21, 2022",Bronze,55.0,N,Wholesale,N/A
CUST-1166,Jamie Prince,jamie.prince@yahoo.com,4489729385,ZA,01/01/2022,Bronze,60.0,FALSE,VIP,
CUST-1167,Jacob Lowe,jacob.lowe@gmail.com,+1-280-532-6506,australia,07-Aug-2022,Platinum,50.0,,Wholesale,N/A
CUST-1168,Julia Garcia,julia.garcia @gmail.com,+1-872-791-8306,Bharat,2023/11/25,Bronze,25.0,FALSE,Retail,VIP - handle with care
CUST-1169,dawn bennett  ,dawn.bennett@gmail.com,311,India,05/05/2026,Bronze,40.0,N,Retail,
CUST-1170,Haley Vazquez,haley.vazquez@outlook.com,9541662361,S. Africa,05/28/2025,Silver,46.0,FALSE,vip,
CUST-1171,David Reynolds,david.reynolds@outlook.com,(707) 724-9969,DE,2024/10/27,Platinum,59.0,No,Wholesale,VIP - handle with care
CUST-1172,Anthony Mckinney,anthony.mckinney @hotmail.com,call-me-maybe,canada,2026-01-08,,61.0,TRUE,Wholesale,N/A
CUST-1173,Michael James,michael.james@gmail.com,+1-866-809-8396,germany,2021-12-17,Silver,69.0,Yes,vip,VIP - handle with care
CUST-1174,Darren Simmons,darren.simmons@yahoo.com,648.587.7616,germany,"June 23, 2024",Platinum,40.0,TRUE,retail ,VIP - handle with care
CUST-1175,Michele Lopez,michele.lopez@gmail.com,126.313.1283,Germany,2023-09-28,GOLD,41.0,Y,retail ,
CUST-1176,Mary Jackson,mary.jackson@gmail.com,976.447.2131,india,21-Nov-2021,bronze,54.0,TRUE,retail ,
CUST-1177,Jennifer Bird,jennifer.bird@yahoo.com,###-###-####,USA,23-Sep-2024,Bronze,19.0,TRUE,Retail,
CUST-1178,Claire Garcia,claire.garcia@outlook.com,+1-560-870-1824,australia,"November 15, 2025",Silver,,N,Wholesale,VIP - handle with care
CUST-1179,Kristy Morales,kristy.morales@gmail.com,+1-190-805-1337,Australia,"August 10, 2021",Platinum,68.0,Yes,Wholesale,
CUST-1180,Zachary Mata,zachary.mata@company.co,+1-406-994-4467,Canada,27/12/2024,,59.0,No,B2B,
CUST-1181,Lee Cox,lee.cox@@outlook.com,(890) 748-2992,australia,"August 03, 2024",,28.0,0,VIP,
CUST-1182,Madison Bruce,madison.bruce@company.co,+1-487-209-1610,France,2025-13-05,bronze,150.0,,Wholesale,
CUST-1183,Toni Larson,toni.larson@@hotmail.com,(705) 485-4913,AU,2021/07/17,Bronze,,No,Retail,N/A
CUST-1144,Kenneth Johnson,kenneth.johnson@yahoo.com,819.678.7866,canada,21-Feb-2021,GOLD,44.0,TRUE,VIP,N/A
CUST-1185,Carlos Ward,carlos.ward@@company.co,4291936309,BR,"December 22, 2021",,150.0,TRUE,retail ,VIP - handle with care
CUST-1186,Roy Rivera,roy.rivera@outlook.com,+1-450-448-3315,France,"July 15, 2025",,64.0,Yes,vip,VIP - handle with care
CUST-1187,Christopher Bass,christopher.bass@hotmail.com,2751527492,united states,2021/09/25,Platinum,25.0,N,Wholesale,
CUST-1188,Joseph Austin,joseph.austin@gmail.com,358,UK,19-Oct-2022,bronze,55.0,FALSE,vip,
CUST-1189,James Hubbard,james.hubbard @outlook.com,+1-764-538-2898,Bharat,22-Jun-2024,Platinum,,0,Retail,N/A
CUST-1190,James Jennings,james.jennings@outlook.com,751.920.1017,S. Africa,26/02/2023,,-3.0,Yes,vip,
CUST-1191,Molly Butler,molly.butler@outlook.com,+1-199-146-9766,Britain,2025/02/16,Gold,39.0,Yes,VIP,N/A
CUST-1192,William Jimenez,william.jimenez@hotmail.com,call-me-maybe,United States of America,2021/07/31,Platinum,57.0,1,B2B,N/A
CUST-1110,Sarah Campos,sarah.campos@hotmail.com,(562) 395-6167,germany,2023-06-22,,36.0,TRUE,Wholesale,N/A
CUST-1194,JOHN AVILA,john.avila@yahoo.com,3641199459,South Africa,07/11/2024,bronze,38.0,N,Retail,
CUST-1195,Kevin Hicks,kevin.hicks@hotmail.com,+1-481-618-7909,CA,"February 10, 2021",,75.0,N,VIP,
CUST-1196,Suzanne Brewer,suzanne.brewer@yahoo.com,+1-149-883-5035,CA,2023/04/15,Platinum,-5.0,0,Wholesale,
CUST-1197,Sherri Harris,sherri.harris@gmail.com,946.408.2523,canada,2021/06/18,GOLD,20.0,,B2B,
CUST-1198,Joseph Farrell,joseph.farrell@@gmail.com,1899488501,australia,2022/05/30,Bronze,150.0,FALSE,VIP,
CUST-1199,Shannon Mendez,shannon.mendez@@hotmail.com,+1-607-479-9159,united states,17/12/2023,Silver,27.0,,B2B,called twice re: refund
CUST-1200,Amy Hubbard,amy.hubbard@outlook.com,(404) 887-9069,India,"April 06, 2023",Gold,36.0,,Retail,N/A
CUST-1201,Andrew Jimenez,andrew.jimenez@company.co,5883851886,india,2021-12-10,Gold,,Y,retail ,
CUST-1202,tracy johnson,tracy.johnson@outlook.com,407,Brasil,28/05/2026,,36.0,N,vip,VIP - handle with care
CUST-1032, mrs. allison martin,mrs..allison.martin@outlook.com,call-me-maybe,Brasil,29/03/2021,GOLD,,1,retail ,
CUST-1204, christina noble dvm,christina.noble.dvm@gmail.com,call-me-maybe,nigeria,19/07/2025,,58.0,TRUE,Retail,
CUST-1205,David Wright,david.wright@outlook.com,676.992.5205,CA,20-Apr-2022,Platinum,70.0,,Retail,called twice re: refund
CUST-1143,Jasmine Steele,jasmine.steele@hotmail.com,(767) 806-6576,USA,2025/02/08,GOLD,52.0,No,vip,
CUST-1116,Anthony Ruiz,anthony.ruiz@yahoo.com,(173) 943-9469,USA,28/03/2026,Silver,21.0,1,B2B,N/A
CUST-1208,Debbie Stevens,debbie.stevens@gmail.com,(410) 815-5946,canada,2025/06/30,Bronze,22.0,N,retail ,
